ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D51I,D51I.TXT,0.21463,0.41905,0.28387,1
ROUGE-1,D55K,D55K.TXT,0.17172,0.32075,0.22368,1
ROUGE-1,D33F,D33F.TXT,0.26108,0.50000,0.34304,1
ROUGE-1,D49I,D49I.TXT,0.23153,0.39167,0.29102,1
ROUGE-1,D35F,D35F.TXT,0.31905,0.52344,0.39645,1
ROUGE-1,D21D,D21D.TXT,0.35981,0.46386,0.40526,1
ROUGE-1,D47H,D47H.TXT,0.20093,0.50588,0.28763,1
ROUGE-1,D38G,D38G.TXT,0.20096,0.36207,0.25846,1
ROUGE-1,D36F,D36F.TXT,0.28780,0.47200,0.35758,1
ROUGE-1,D10B,D10B.TXT,0.31707,0.39877,0.35326,1
ROUGE-1,D26E,D26E.TXT,0.27805,0.32948,0.30159,1
ROUGE-1,D16C,D16C.TXT,0.21717,0.55844,0.31273,1
ROUGE-1,D02A,D02A.TXT,0.24545,0.40602,0.30595,1
ROUGE-1,D18C,D18C.TXT,0.18095,0.49351,0.26481,1
ROUGE-1,D60K,D60K.TXT,0.38743,0.44578,0.41457,1
ROUGE-1,D52I,D52I.TXT,0.30317,0.48201,0.37222,1
ROUGE-1,D40G,D40G.TXT,0.24876,0.32680,0.28249,1
ROUGE-1,D58K,D58K.TXT,0.23077,0.26966,0.24870,1
ROUGE-1,D42G,D42G.TXT,0.28922,0.42446,0.34402,1
ROUGE-1,D20D,D20D.TXT,0.28017,0.58559,0.37901,1
ROUGE-1,D46H,D46H.TXT,0.27228,0.38462,0.31884,1
ROUGE-1,D48H,D48H.TXT,0.24402,0.34459,0.28571,1
ROUGE-1,D25E,D25E.TXT,0.18571,0.38235,0.25000,1
ROUGE-1,D23D,D23D.TXT,0.17241,0.58140,0.26596,1
ROUGE-1,D01A,D01A.TXT,0.18182,0.43678,0.25676,1
ROUGE-1,D03A,D03A.TXT,0.23923,0.53191,0.33003,1
ROUGE-1,D29E,D29E.TXT,0.36916,0.46471,0.41146,1
ROUGE-1,D17C,D17C.TXT,0.21354,0.32283,0.25705,1
ROUGE-1,D07B,D07B.TXT,0.08434,0.41176,0.14000,1
ROUGE-1,D09B,D09B.TXT,0.27962,0.43382,0.34006,1
