#Task Name  #Avg_Recall  #Avg_Precision  #Avg_F-Score
D51I  0.21463  0.41905  0.28387
D55K  0.17172  0.32075  0.22368
D33F  0.26108  0.5  0.34304
D49I  0.23153  0.39167  0.29102
D35F  0.31905  0.52344  0.39645
D21D  0.35981  0.46386  0.40526
D47H  0.20093  0.50588  0.28763
D38G  0.20096  0.36207  0.25846
D36F  0.2878  0.472  0.35758
D10B  0.31707  0.39877  0.35326
D26E  0.27805  0.32948  0.30159
D16C  0.21717  0.55844  0.31273
D02A  0.24545  0.40602  0.30595
D18C  0.18095  0.49351  0.26481
D60K  0.38743  0.44578  0.41457
D52I  0.30317  0.48201  0.37222
D40G  0.24876  0.3268  0.28249
D58K  0.23077  0.26966  0.2487
D42G  0.28922  0.42446  0.34402
D20D  0.28017  0.58559  0.37901
D46H  0.27228  0.38462  0.31884
D48H  0.24402  0.34459  0.28571
D25E  0.18571  0.38235  0.25
D23D  0.17241  0.5814  0.26596
D01A  0.18182  0.43678  0.25676
D03A  0.23923  0.53191  0.33003
D29E  0.36916  0.46471  0.41146
D17C  0.21354  0.32283  0.25705
D07B  0.08434  0.41176  0.14
D09B  0.27962  0.43382  0.34006
