ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D51I,D51I.TXT,0.10437,0.50000,0.17269,1
ROUGE-1,D55K,D55K.TXT,0.11616,0.42593,0.18254,1
ROUGE-1,D33F,D33F.TXT,0.13768,0.63333,0.22619,1
ROUGE-1,D49I,D49I.TXT,0.17602,0.53488,0.26488,1
ROUGE-1,D35F,D35F.TXT,0.19363,0.58519,0.29098,1
ROUGE-1,D21D,D21D.TXT,0.21103,0.60690,0.31317,1
ROUGE-1,D47H,D47H.TXT,0.11972,0.63750,0.20158,1
ROUGE-1,D38G,D38G.TXT,0.12019,0.47619,0.19194,1
ROUGE-1,D36F,D36F.TXT,0.22664,0.65986,0.33739,1
ROUGE-1,D10B,D10B.TXT,0.18116,0.52817,0.26978,1
ROUGE-1,D26E,D26E.TXT,0.11980,0.31410,0.17345,1
ROUGE-1,D16C,D16C.TXT,0.10377,0.60274,0.17706,1
ROUGE-1,D02A,D02A.TXT,0.12165,0.45455,0.19194,1
ROUGE-1,D18C,D18C.TXT,0.11463,0.61039,0.19302,1
ROUGE-1,D60K,D60K.TXT,0.24105,0.59064,0.34237,1
ROUGE-1,D52I,D52I.TXT,0.17090,0.58730,0.26476,1
ROUGE-1,D40G,D40G.TXT,0.17073,0.48951,0.25316,1
ROUGE-1,D58K,D58K.TXT,0.18527,0.49367,0.26943,1
ROUGE-1,D42G,D42G.TXT,0.18919,0.55396,0.28205,1
ROUGE-1,D20D,D20D.TXT,0.17986,0.67568,0.28409,1
ROUGE-1,D46H,D46H.TXT,0.18160,0.52448,0.26978,1
ROUGE-1,D48H,D48H.TXT,0.14964,0.53846,0.23420,1
ROUGE-1,D25E,D25E.TXT,0.09655,0.36207,0.15245,1
ROUGE-1,D23D,D23D.TXT,0.10766,0.52326,0.17857,1
ROUGE-1,D01A,D01A.TXT,0.14976,0.55357,0.23574,1
ROUGE-1,D03A,D03A.TXT,0.12652,0.53608,0.20472,1
ROUGE-1,D29E,D29E.TXT,0.24402,0.60714,0.34812,1
ROUGE-1,D17C,D17C.TXT,0.13466,0.46154,0.20849,1
ROUGE-1,D07B,D07B.TXT,0.09157,0.41758,0.15020,1
ROUGE-1,D09B,D09B.TXT,0.17943,0.60976,0.27726,1
