#doc_no			#mmr_summary_polarity		#human_polarity_polarity

1 0.0 0.108445945946
2 0.205892255892 -0.0735858585859
3 0.24 0.0646617692072
7 0.0840909090909 0.0191458766459
9 0.05 0.0278703703704
10 0.240816326531 0.203891941392
16 0.277083333333 0.11795045045
17 0.395238095238 0.0272521295908
18 0.153333333333 -0.108703703704
20 0.6 0.01
21 0.1625 0.0318392255892
23 0.395 0.0318392255892
25 0.15 0.15625
26 0.0486111111111 0.0543954248366
29 0.0109848484848 -0.0139880952381
33 0.0 0.0513644094001
35 0.178114478114 0.134647950089
36 0.08 0.151466450216
38 0.0 0.14741010101
40 0.226470588235 0.0238136863137
42 0.0833333333333 0.152541035354
46 0.05 -0.0541666666667
47 0.433333333333 0.203968253968
48 0.319047619048 -0.00230065633291
49 0.285 0.174814814815
51 2.77555756156e-18 0.0625
52 0.212121212121 -0.0645454545455
55 0.388888888889 0.161791187739
58 0.104166666667 0.0559573002755
60 0.1 -0.0642087542088
