ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D51I,D51I.TXT,0.10437,0.40952,0.16634,1
ROUGE-1,D55K,D55K.TXT,0.13131,0.50000,0.20800,1
ROUGE-1,D33F,D33F.TXT,0.15459,0.64646,0.24951,1
ROUGE-1,D49I,D49I.TXT,0.19388,0.61290,0.29457,1
ROUGE-1,D35F,D35F.TXT,0.17892,0.55725,0.27087,1
ROUGE-1,D21D,D21D.TXT,0.17746,0.65487,0.27925,1
ROUGE-1,D47H,D47H.TXT,0.10798,0.60526,0.18327,1
ROUGE-1,D38G,D38G.TXT,0.10096,0.44681,0.16471,1
ROUGE-1,D36F,D36F.TXT,0.20327,0.74359,0.31927,1
ROUGE-1,D10B,D10B.TXT,0.17633,0.57031,0.26937,1
ROUGE-1,D26E,D26E.TXT,0.10269,0.31818,0.15527,1
ROUGE-1,D16C,D16C.TXT,0.08726,0.50000,0.14859,1
ROUGE-1,D02A,D02A.TXT,0.12409,0.47222,0.19653,1
ROUGE-1,D18C,D18C.TXT,0.09512,0.66102,0.16631,1
ROUGE-1,D60K,D60K.TXT,0.15036,0.56250,0.23729,1
ROUGE-1,D52I,D52I.TXT,0.15242,0.58929,0.24220,1
ROUGE-1,D40G,D40G.TXT,0.17805,0.57031,0.27138,1
ROUGE-1,D58K,D58K.TXT,0.17815,0.53571,0.26738,1
ROUGE-1,D42G,D42G.TXT,0.20147,0.56552,0.29710,1
ROUGE-1,D20D,D20D.TXT,0.08393,0.64815,0.14862,1
ROUGE-1,D46H,D46H.TXT,0.11138,0.54762,0.18511,1
ROUGE-1,D48H,D48H.TXT,0.10689,0.46875,0.17408,1
ROUGE-1,D25E,D25E.TXT,0.08046,0.33333,0.12963,1
ROUGE-1,D23D,D23D.TXT,0.10766,0.50000,0.17717,1
ROUGE-1,D01A,D01A.TXT,0.17391,0.58065,0.26766,1
ROUGE-1,D03A,D03A.TXT,0.14355,0.50862,0.22391,1
ROUGE-1,D29E,D29E.TXT,0.19856,0.60584,0.29910,1
ROUGE-1,D17C,D17C.TXT,0.11970,0.49485,0.19277,1
ROUGE-1,D07B,D07B.TXT,0.12771,0.45690,0.19962,1
ROUGE-1,D09B,D09B.TXT,0.20813,0.57237,0.30526,1
