ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D51I,D51I.TXT,0.33000,0.31429,0.32195,1
ROUGE-1,D55K,D55K.TXT,0.22609,0.24528,0.23529,1
ROUGE-1,D33F,D33F.TXT,0.35294,0.33962,0.34615,1
ROUGE-1,D49I,D49I.TXT,0.31132,0.27500,0.29204,1
ROUGE-1,D35F,D35F.TXT,0.36634,0.28906,0.32314,1
ROUGE-1,D21D,D21D.TXT,0.54128,0.35542,0.42909,1
ROUGE-1,D47H,D47H.TXT,0.28571,0.35294,0.31579,1
ROUGE-1,D38G,D38G.TXT,0.31776,0.29310,0.30493,1
ROUGE-1,D36F,D36F.TXT,0.36449,0.31200,0.33621,1
ROUGE-1,D10B,D10B.TXT,0.35238,0.22699,0.27612,1
ROUGE-1,D26E,D26E.TXT,0.38462,0.23121,0.28881,1
ROUGE-1,D16C,D16C.TXT,0.28431,0.37662,0.32402,1
ROUGE-1,D02A,D02A.TXT,0.33945,0.27820,0.30579,1
ROUGE-1,D18C,D18C.TXT,0.24038,0.32468,0.27624,1
ROUGE-1,D60K,D60K.TXT,0.47959,0.28313,0.35606,1
ROUGE-1,D52I,D52I.TXT,0.35398,0.28777,0.31746,1
ROUGE-1,D40G,D40G.TXT,0.33000,0.21569,0.26087,1
ROUGE-1,D58K,D58K.TXT,0.31068,0.17978,0.22776,1
ROUGE-1,D42G,D42G.TXT,0.43689,0.32374,0.37190,1
ROUGE-1,D20D,D20D.TXT,0.43137,0.39640,0.41315,1
ROUGE-1,D46H,D46H.TXT,0.25472,0.18881,0.21687,1
ROUGE-1,D48H,D48H.TXT,0.31776,0.22973,0.26667,1
ROUGE-1,D25E,D25E.TXT,0.17647,0.17647,0.17647,1
ROUGE-1,D23D,D23D.TXT,0.34234,0.44186,0.38579,1
ROUGE-1,D01A,D01A.TXT,0.23529,0.27586,0.25397,1
ROUGE-1,D03A,D03A.TXT,0.29703,0.31915,0.30769,1
ROUGE-1,D29E,D29E.TXT,0.42857,0.26471,0.32727,1
ROUGE-1,D17C,D17C.TXT,0.22449,0.17323,0.19556,1
ROUGE-1,D07B,D07B.TXT,0.23762,0.28235,0.25806,1
ROUGE-1,D09B,D09B.TXT,0.29126,0.22059,0.25105,1
