#Task Name  #Avg_Recall  #Avg_Precision  #Avg_F-Score
D51I  0.33  0.31429  0.32195
D55K  0.22609  0.24528  0.23529
D33F  0.35294  0.33962  0.34615
D49I  0.31132  0.275  0.29204
D35F  0.36634  0.28906  0.32314
D21D  0.54128  0.35542  0.42909
D47H  0.28571  0.35294  0.31579
D38G  0.31776  0.2931  0.30493
D36F  0.36449  0.312  0.33621
D10B  0.35238  0.22699  0.27612
D26E  0.38462  0.23121  0.28881
D16C  0.28431  0.37662  0.32402
D02A  0.33945  0.2782  0.30579
D18C  0.24038  0.32468  0.27624
D60K  0.47959  0.28313  0.35606
D52I  0.35398  0.28777  0.31746
D40G  0.33  0.21569  0.26087
D58K  0.31068  0.17978  0.22776
D42G  0.43689  0.32374  0.3719
D20D  0.43137  0.3964  0.41315
D46H  0.25472  0.18881  0.21687
D48H  0.31776  0.22973  0.26667
D25E  0.17647  0.17647  0.17647
D23D  0.34234  0.44186  0.38579
D01A  0.23529  0.27586  0.25397
D03A  0.29703  0.31915  0.30769
D29E  0.42857  0.26471  0.32727
D17C  0.22449  0.17323  0.19556
D07B  0.23762  0.28235  0.25806
D09B  0.29126  0.22059  0.25105
