#Task Name   #Avg_Recall   #Avg_Precision   #Avg_F-Score
D51I   0.10437   0.5   0.17269
D55K   0.11616   0.42593   0.18254
D33F   0.13768   0.63333   0.22619
D49I   0.17602   0.53488   0.26488
D35F   0.19363   0.58519   0.29098
D21D   0.21103   0.6069   0.31317
D47H   0.11972   0.6375   0.20158
D38G   0.12019   0.47619   0.19194
D36F   0.22664   0.65986   0.33739
D10B   0.18116   0.52817   0.26978
D26E   0.1198   0.3141   0.17345
D16C   0.10377   0.60274   0.17706
D02A   0.12165   0.45455   0.19194
D18C   0.11463   0.61039   0.19302
D60K   0.24105   0.59064   0.34237
D52I   0.1709   0.5873   0.26476
D40G   0.17073   0.48951   0.25316
D58K   0.18527   0.49367   0.26943
D42G   0.18919   0.55396   0.28205
D20D   0.17986   0.67568   0.28409
D46H   0.1816   0.52448   0.26978
D48H   0.14964   0.53846   0.2342
D25E   0.09655   0.36207   0.15245
D23D   0.10766   0.52326   0.17857
D01A   0.14976   0.55357   0.23574
D03A   0.12652   0.53608   0.20472
D29E   0.24402   0.60714   0.34812
D17C   0.13466   0.46154   0.20849
D07B   0.09157   0.41758   0.1502
D09B   0.17943   0.60976   0.27726
